,word,pos,iob
12351,in,IN,O
12352,the,DT,O
12353,morning,NN,O
12354,as,IN,O
12355,a,DT,O
12356,sign,NN,O
12357,of,IN,O
12358,respect,NN,O
12359,for,IN,O
12360,the,DT,O
12361,roughly,RB,O
12362,eight,CD,O
12363,million,CD,O
12364,who,WP,O
12365,died,VBD,O
12366,in,IN,O
12367,the,DT,O
12368,war,NN,O
12369,",",",",O
12370,as,IN,O
12371,suggested,VBN,O
12372,by,IN,O
12373,Edward,NNP,I-PER
12374,George,NNP,I-PER
12375,Honey,NNP,I-PER
12376,in,IN,O
12377,a,DT,O
12378,letter,NN,O
12379,to,TO,O
12380,a,DT,O
12381,British,JJ,I-MISC
12382,newspaper,NN,O
12383,though,IN,O
12384,Wellesley,NNP,I-PER
12385,Tudor,NNP,I-PER
12386,Pole,NNP,I-PER
12387,established,VBD,O
12388,two,CD,O
12389,ceremonial,JJ,O
12390,periods,NNS,O
12391,of,IN,O
12392,remembrance,NN,O
12393,based,VBN,O
12394,on,IN,O
12395,events,NNS,O
12396,in,IN,O
12397,1917,CD,O
12398,.,.,O
12399, ,VB,O
12400,Beginning,VBG,O
12401,in,IN,O
12402,1939,CD,O
12403,",",",",O
12404,the,DT,O
12405,two-minute,JJ,O
12406,silence,NN,O
12407,was,VBD,O
12408,moved,VBN,O
12409,to,TO,O
12410,the,DT,O
12411,Sunday,NNP,O
12412,nearest,VBD,O
12413,the,DT,O
12414,11th,CD,O
12415,",",",",O
12416,in,IN,O
12417,order,NN,O
12418,not,RB,O
12419,to,TO,O
12420,interfere,VB,O
12421,with,IN,O
12422,wartime,JJ,O
12423,production,NN,O
12424,should,MD,O
12425,the,DT,O
12426,11th,CD,O
12427,fall,NN,O
12428,on,IN,O
12429,a,DT,O
12430,weekday,NN,O
12431,.,.,O
12432, ,NN,O
12433,Since,IN,O
12434,the,DT,O
12435,1990s,CD,O
12436,a,DT,O
12437,growing,VBG,O
12438,number,NN,O
12439,of,IN,O
12440,people,NNS,O
12441,have,VBP,O
12442,observed,VBN,O
12443,a,DT,O
12444,two-minute,JJ,O
12445,silence,NN,O
12446,on,IN,O
12447,11,CD,O
12448,November,NNP,O
12449,",",",",O
12450,resulting,VBG,O
12451,in,IN,O
12452,both,DT,O
12453,Armistice,NNP,I-MISC
12454,Day,NNP,I-MISC
12455,and,CC,O
12456,Remembrance,NNP,I-MISC
12457,Sunday,NNP,I-MISC
12458,being,VBG,O
12459,commemorated,VBN,O
12460,formally,RB,O
12461,in,IN,O
12462,the,DT,O
12463,UK,NNP,I-LOC
12464,(,(,O
12465,although,IN,O
12466,in,IN,O
12467,2007,CD,O
12468,they,PRP,O
12469,fell,VBD,O
12470,on,IN,O
12471,the,DT,O
12472,same,JJ,O
12473,day,NN,O
12474,),),O
12475,.,.,O
12476, ,JJ,O
12477,November,NNP,O
12478,11th,CD,O
12479,2008,CD,O
12480,will,MD,O
12481,be,VB,O
12482,the,DT,O
12483,90th,CD,O
12484,anniversary,NN,O
12485,of,IN,O
12486,Armistice,NNP,I-MISC
12487,Day,NNP,I-MISC
12488,.,.,O
12489, ,VB,O
12490,-DOCSTART-,JJ,O
12491, ,FW,O
12492,A,DT,I-MISC
12493,Storm,NN,I-MISC
12494,to,TO,I-MISC
12495,Come,NNP,I-MISC
12496,is,VBZ,O
12497,the,DT,O
12498,debut,NN,O
12499,album,NN,O
12500,of,IN,O
12501,german,JJ,I-MISC
12502,a,DT,O
12503,cappella,NN,O
12504,metal,NN,O
12505,band,NN,O
12506,Van,NNP,I-ORG
12507,Canto,NNP,I-ORG
12508,",",",",O
12509,released,VBN,O
12510,in,IN,O
12511,2006,CD,O
12512,.,.,O
12513, ,VB,O
12514,The,DT,O
12515,album,NN,O
12516,cover,NN,O
12517,'s,POS,O
12518,artwork,NN,O
12519,was,VBD,O
12520,provided,VBN,O
12521,by,IN,O
12522,Mattias,NNP,I-PER
12523,Noren,NNP,I-PER
12524,.,.,O
12525, ,VB,O
12526,-DOCSTART-,JJ,O
12527, ,PDT,O
12528,The,DT,O
12529,Mass,NNP,I-LOC
12530,Transit,NNP,I-LOC
12531,System,NNP,I-LOC
12532,of,IN,O
12533,Athens,NNP,I-LOC
12534,",",",",O
12535,Greece,NNP,I-LOC
12536,is,VBZ,O
12537,the,DT,O
12538,largest,JJS,O
12539,mass,NN,O
12540,transit,NN,O
12541,system,NN,O
12542,in,IN,O
12543,all,DT,O
12544,of,IN,O
12545,Greece,NNP,I-LOC
12546,.,.,O
12547, ,VB,O
12548,The,DT,O
12549,ISAP,NNP,I-ORG
12550,",",",",O
12551,ILPAP,NNP,I-ORG
12552,and,CC,O
12553,ETHEL,NNP,I-ORG
12554,companies,NNS,O
12555,belong,VBP,O
12556,to,TO,O
12557,the,DT,O
12558,public,JJ,O
12559,company,NN,O
12560,OASA,NNP,I-ORG
12561,(,(,O
12562,Organismos,NNP,I-ORG
12563,Astikon,NNP,I-ORG
12564,Syngoinonion,NNP,I-ORG
12565,Athinon,NNP,I-ORG
12566,/,NNP,O
12567,Athens,NNP,I-ORG
12568,Urban,NNP,I-ORG
12569,Transport,NNP,I-ORG
12570,Organisation,NNP,I-ORG
12571,/,NNP,O
12572,Οργανισμός,NNP,O
12573,Αστικών,NNP,O
12574,Συγκοινωνιών,NNP,O
12575,Αθηνών,NNP,O
12576,.,.,O
12577,The,DT,O
12578,AMEL,NNP,I-ORG
12579,and,CC,O
12580,Tram,NNP,I-ORG
12581,companies,NNS,O
12582,belong,VBP,O
12583,to,TO,O
12584,Attiko,NNP,I-ORG
12585,Metro,NNP,I-ORG
12586,(,(,O
12587,Αττικό,NNP,O
12588,Μετρό,NNP,O
12589,Α.Ε.,NNP,O
12590,in,IN,O
12591,Greek,NNP,I-MISC
12592,),),O
12593,",",",",O
12594,a,DT,O
12595,company,NN,O
12596,that,WDT,O
12597,is,VBZ,O
12598,currently,RB,O
12599,wholly,RB,O
12600,owned,VBN,O
12601,by,IN,O
12602,the,DT,O
12603,Greek,JJ,I-ORG
12604,government,NN,I-ORG
12605,.,.,O
12606, ,VB,O
12607,Proastiakos,NNP,I-ORG
12608,S.A.,NNP,I-ORG
12609,belongs,VBZ,O
12610,to,TO,O
12611,OSE,NNP,I-ORG
12612,",",",",O
12613,which,WDT,O
12614,is,VBZ,O
12615,also,RB,O
12616,a,DT,O
12617,public,JJ,O
12618,company,NN,O
12619,.,.,O
12620, ,JJ,O
12621,-DOCSTART-,JJ,O
12622, ,NNP,O
12623,Atwick,NNP,I-LOC
12624,is,VBZ,O
12625,a,DT,O
12626,village,NN,O
12627,and,CC,O
12628,civil,JJ,O
12629,parish,NN,O
12630,in,IN,O
12631,Holderness,NNP,I-LOC
12632,in,IN,O
12633,the,DT,O
12634,East,NNP,I-LOC
12635,Riding,NNP,I-LOC
12636,of,IN,I-LOC
12637,Yorkshire,NNP,I-LOC
12638,",",",",O
12639,England,NNP,I-LOC
12640,.,.,O
12641, ,VB,O
12642,The,DT,O
12643,village,NN,O
12644,is,VBZ,O
12645,near,IN,O
12646,the,DT,O
12647,North,NNP,I-LOC
12648,Sea,NNP,I-LOC
12649,coast,NN,O
12650,",",",",O
12651,and,CC,O
12652,two,CD,O
12653,miles,NNS,O
12654,north,RB,O
12655,of,IN,O
12656,Hornsea,NNP,I-LOC
12657,on,IN,O
12658,the,DT,O
12659,B1242,NNP,I-LOC
12660,road,NN,O
12661,.,.,O
12662, ,VB,O
12663,The,DT,O
12664,civil,JJ,O
12665,parish,NN,O
12666,is,VBZ,O
12667,formed,VBN,O
12668,by,IN,O
12669,the,DT,O
12670,village,NN,O
12671,of,IN,O
12672,Atwick,NNP,I-LOC
12673,and,CC,O
12674,the,DT,O
12675,hamlet,NN,O
12676,of,IN,O
12677,Skirlington,NNP,I-LOC
12678,.,.,O
12679, ,VB,O
12680,According,VBG,O
12681,to,TO,O
12682,the,DT,O
12683,2001,CD,O
12684,UK,NNP,I-LOC
12685,census,NN,O
12686,",",",",O
12687,Atwick,NNP,I-LOC
12688,parish,NN,O
12689,had,VBD,O
12690,a,DT,O
12691,population,NN,O
12692,of,IN,O
12693,318,CD,O
12694,.,.,O
12695, ,VB,O
12696,The,DT,O
12697,World,NNP,I-MISC
12698,War,NNP,I-MISC
12699,Two,CD,I-MISC
12700,defences,NNS,O
12701,constructed,VBN,O
12702,in,IN,O
12703,and,CC,O
12704,around,IN,O
12705,Atwick,NNP,I-LOC
12706,have,VBP,O
12707,been,VBN,O
12708,documented,VBN,O
12709,by,IN,O
12710,William,NNP,I-PER
12711,Foot,NNP,I-PER
12712,.,.,O
12713, ,NN,O
12714,They,PRP,O
12715,included,VBD,O
12716,a,DT,O
12717,heavy,JJ,O
12718,anti-aircraft,JJ,O
12719,battery,NN,O
12720,and,CC,O
12721,several,JJ,O
12722,pillboxes,NNS,O
12723,.,.,O
12724, ,VB,O
12725,-DOCSTART-,JJ,O
12726, ,PDT,O
12727,The,DT,O
12728,Australian,NNP,I-ORG
12729,League,NNP,I-ORG
12730,of,IN,I-ORG
12731,Rights,NNPS,I-ORG
12732,is,VBZ,O
12733,a,DT,O
12734,minor,JJ,O
12735,political,JJ,O
12736,organisation,NN,O
12737,in,IN,O
12738,Australia,NNP,I-LOC
12739,founded,VBN,O
12740,by,IN,O
12741,Eric,NNP,I-PER
12742,Butler,NNP,I-PER
12743,with,IN,O
12744,its,PRP$,O
12745,basis,NN,O
12746,in,IN,O
12747,the,DT,O
12748,economic,JJ,O
12749,theory,NN,O
12750,of,IN,O
12751,Social,NNP,O
12752,Credit,NNP,O
12753,expounded,VBN,O
12754,by,IN,O
12755,C.,NNP,I-PER
12756,H.,NNP,I-PER
12757,Douglas,NNP,I-PER
12758,.,.,O
12759, ,VB,O
12760,It,PRP,O
12761,describes,VBZ,O
12762,itself,PRP,O
12763,as,IN,O
12764,upholding,VBG,O
12765,the,DT,O
12766,virtues,NNS,O
12767,of,IN,O
12768,freedom,NN,O
12769,.,.,O
12770, ,VB,O
12771,It,PRP,O
12772,is,VBZ,O
12773,not,RB,O
12774,a,DT,O
12775,political,JJ,O
12776,party,NN,O
12777,",",",",O
12778,but,CC,O
12779,rather,RB,O
12780,sees,VBZ,O
12781,itself,PRP,O
12782,as,IN,O
12783,a,DT,O
12784,watchdog,NN,O
12785,against,IN,O
12786,government,NN,O
12787,intervention,NN,O
12788,.,.,O
12789, ,VB,O
12790,The,DT,O
12791,League,NNP,I-ORG
12792,was,VBD,O
12793,formed,VBN,O
12794,in,IN,O
12795,1960,CD,O
12796,by,IN,O
12797,a,DT,O
12798,merger,NN,O
12799,of,IN,O
12800,various,JJ,O
12801,Leagues,NNS,O
12802,of,IN,O
12803,Rights,NNS,O
12804,based,VBN,O
12805,in,IN,O
12806,the,DT,O
12807,Australian,JJ,I-MISC
12808,states,NNS,O
12809,",",",",O
12810,the,DT,O
12811,first,JJ,O
12812,of,IN,O
12813,which,WDT,O
12814,was,VBD,O
12815,based,VBN,O
12816,in,IN,O
12817,South,NNP,I-LOC
12818,Australia,NNP,I-LOC
12819,from,IN,O
12820,1946,CD,O
12821,.,.,O
12822, ,VB,O
12823,The,DT,O
12824,League,NNP,I-ORG
12825,'s,POS,O
12826,founder,NN,O
12827,Eric,NNP,I-PER
12828,Butler,NNP,I-PER
12829,died,VBD,O
12830,on,IN,O
12831,June,NNP,O
12832,9,CD,O
12833,2006,CD,O
12834,",",",",O
12835,at,IN,O
12836,the,DT,O
12837,age,NN,O
12838,of,IN,O
12839,90,CD,O
12840,.,.,O
12841, ,VB,O
12842,The,DT,O
12843,League,NNP,I-ORG
12844,",",",",O
12845,like,IN,O
12846,many,JJ,O
12847,other,JJ,O
12848,far-Right,JJ,O
12849,organisations,NNS,O
12850,",",",",O
12851,strongly,RB,O
12852,denies,VBZ,O
12853,that,IN,O
12854,the,DT,O
12855,Holocaust,NNP,I-MISC
12856,",",",",O
12857,during,IN,O
12858,which,WDT,O
12859,millions,NNS,O
12860,of,IN,O
12861,people,NNS,O
12862,",",",",O
12863,particularly,RB,O
12864,European,JJ,I-MISC
12865,Jews,NNP,I-MISC
12866,",",",",O
12867,were,VBD,O
12868,killed,VBN,O
12869,",",",",O
12870,ever,RB,O
12871,occurred,VBD,O
12872,.,.,O
12873, ,VB,O
12874,It,PRP,O
12875,is,VBZ,O
12876,strongly,RB,O
12877,supportive,JJ,O
12878,of,IN,O
12879,the,DT,O
12880,polemicist,NN,O
12881,and,CC,O
12882,Holocaust,NNP,I-MISC
12883,denial,JJ,O
12884,advocate,NN,O
12885,David,NNP,I-PER
12886,Irving,NNP,I-PER
12887,.,.,O
12888, ,NN,O
12889,They,PRP,O
12890,believe,VBP,O
12891,that,IN,O
12892,the,DT,O
12893,world,NN,O
12894,is,VBZ,O
12895,run,VBN,O
12896,by,IN,O
12897,a,DT,O
12898,secret,JJ,O
12899,society,NN,O
12900,of,IN,O
12901,Jews,NNP,I-MISC
12902,.,.,O
12903, ,VB,O
12904,The,DT,O
12905,League,NNP,I-ORG
12906,is,VBZ,O
12907,distinctive,JJ,O
12908,for,IN,O
12909,asserting,VBG,O
12910,that,IN,O
12911,The,DT,I-MISC
12912,Protocols,NNP,I-MISC
12913,of,IN,I-MISC
12914,the,DT,I-MISC
12915,Elders,NNS,I-MISC
12916,of,IN,I-MISC
12917,Zion,NNP,I-MISC
12918,is,VBZ,O
12919,a,DT,O
12920,genuine,JJ,O
12921,Jewish,JJ,I-MISC
12922,document,NN,O
12923,(,(,O
12924,the,DT,O
12925,Encyclopædi,NNP,I-MISC
12926,Britannica,NNP,I-MISC
12927,for,IN,O
12928,example,NN,O
12929,describes,VBZ,O
12930,the,DT,O
12931,Protocols,NNP,I-MISC
12932,as,IN,O
12933,a,DT,O
12934,"""",JJ,O
12935,fraudulent,JJ,O
12936,document,NN,O
12937,that,WDT,O
12938,served,VBD,O
12939,as,IN,O
12940,a,DT,O
12941,pretext,NN,O
12942,and,CC,O
12943,rationale,NN,O
12944,for,IN,O
12945,anti-Semitism,NN,O
12946,in,IN,O
12947,the,DT,O
12948,early,JJ,O
12949,20th,JJ,O
12950,century,NN,O
12951,"""",NN,O
12952,),),O
12953,.,.,O
12954, ,VB,O
12955,The,DT,O
12956,League,NNP,I-ORG
12957,describes,VBZ,O
12958,itself,PRP,O
12959,as,IN,O
12960,being,VBG,O
12961,based,VBN,O
12962,on,IN,O
12963,the,DT,O
12964,principles,NNS,O
12965,of,IN,O
12966,Christianity,NNP,I-MISC
12967,and,CC,O
12968,is,VBZ,O
12969,vehement,JJ,O
12970,in,IN,O
12971,its,PRP$,O
12972,anti-communism,NN,O
12973,.,.,O
12974, ,IN,O
12975,They,PRP,O
12976,argue,VBP,O
12977,in,IN,O
12978,favour,NN,O
12979,of,IN,O
12980,capitalism,NN,O
12981,by,IN,O
12982,promoting,VBG,O
12983,the,DT,O
12984,sanctity,NN,O
12985,of,IN,O
12986,private,JJ,O
12987,property,NN,O
12988,and,CC,O
12989,individual,JJ,O
12990,enterprise,NN,O
12991,.,.,O
12992, ,IN,O
12993,They,PRP,O
12994,are,VBP,O
12995,keen,JJ,O
12996,promoters,NNS,O
12997,of,IN,O
12998,Social,NNP,O
12999,Credit,NNP,O
13000,.,.,O
13001, ,IN,O
13002,They,PRP,O
13003,are,VBP,O
13004,strongly,RB,O
13005,monarchist,JJ,O
13006,and,CC,O
13007,completely,RB,O
13008,opposed,VBN,O
13009,to,TO,O
13010,Australian,JJ,I-MISC
13011,republicanism,NN,O
13012,and,CC,O
13013,see,VB,O
13014,the,DT,O
13015,links,NNS,O
13016,to,TO,O
13017,Great,NNP,I-LOC
13018,Britain,NNP,I-LOC
13019,as,IN,O
13020,being,VBG,O
13021,fundamental,JJ,O
13022,to,TO,O
13023,Australian,JJ,I-MISC
13024,identity,NN,O
13025,.,.,O
13026, ,VB,O
13027,The,DT,O
13028,League,NNP,I-ORG
13029,has,VBZ,O
13030,been,VBN,O
13031,accused,VBN,O
13032,of,IN,O
13033,being,VBG,O
13034,associated,VBN,O
13035,with,IN,O
13036,the,DT,O
13037,now-defunct,JJ,O
13038,Australian,JJ,I-ORG
13039,National,NNP,I-ORG
13040,Socialist,NNP,I-ORG
13041,Party,NNP,I-ORG
13042,.,.,O
13043, ,VB,O
13044,Former,NNP,O
13045,Western,NNP,I-MISC
13046,Australian,NNP,I-MISC
13047,Labor,NNP,I-ORG
13048,MP,NNP,O
13049,",",",",O
13050,founder,NN,O
13051,of,IN,O
13052,the,DT,O
13053,Australia,NNP,I-ORG
13054,First,NNP,I-ORG
13055,Party,NNP,I-ORG
13056,and,CC,O
13057,later,RB,O
13058,One,CD,I-ORG
13059,Nation,NNP,I-ORG
13060,member,NN,O
13061,Graeme,NNP,I-PER
13062,Campbell,NNP,I-PER
13063,was,VBD,O
13064,associated,VBN,O
13065,with,IN,O
13066,the,DT,O
13067,League,NNP,I-ORG
13068,at,IN,O
13069,the,DT,O
13070,same,JJ,O
13071,time,NN,O
13072,as,IN,O
13073,he,PRP,O
13074,was,VBD,O
13075,a,DT,O
13076,member,NN,O
13077,of,IN,O
13078,One,CD,I-ORG
13079,Nation,NN,I-ORG
13080,and,CC,O
13081,Australia,NNP,I-ORG
13082,First,NNP,I-ORG
13083,.,.,O
13084, ,VB,O
13085,Mr,NNP,O
13086,Campbell,NNP,I-PER
13087,stated,VBD,O
13088,that,IN,O
13089,"""",NNP,O
13090,Australia,NNP,I-ORG
13091,First,NNP,I-ORG
13092,has,VBZ,O
13093,no,DT,O
13094,association,NN,O
13095,with,IN,O
13096,the,DT,O
13097,League,NNP,I-ORG
13098,.,.,O
13099, ,VB,O
13100,It,PRP,O
13101,'s,VBZ,O
13102,me,PRP,O
13103,with,IN,O
13104,the,DT,O
13105,association,NN,O
13106,.,.,O
13107,"""",VB,O
13108, ,JJ,O
13109,Former,NNP,O
13110,treasurer,NN,O
13111,Peter,NNP,I-PER
13112,Costello,NNP,I-PER
13113,stated,VBD,O
13114,that,IN,O
13115,One,CD,I-ORG
13116,Nation,NNP,I-ORG
13117,'s,POS,O
13118,policy,NN,O
13119,of,IN,O
13120,a,DT,O
13121,state,NN,O
13122,bank,NN,O
13123,which,WDT,O
13124,would,MD,O
13125,issue,VB,O
13126,low-interest,JJ,O
13127,loans,NNS,O
13128,was,VBD,O
13129,directly,RB,O
13130,taken,VBN,O
13131,from,IN,O
13132,the,DT,O
13133,ALOR,NNP,I-ORG
13134,",",",",O
13135,and,CC,O
13136,that,IN,O
13137,"""",VBP,O
13138,the,DT,O
13139,League,NNP,I-ORG
13140,of,IN,I-ORG
13141,Rights,NNPS,I-ORG
13142,is,VBZ,O
13143,driving,VBG,O
13144,its,PRP$,O
13145,policy,NN,O
13146,in,IN,O
13147,relation,NN,O
13148,to,TO,O
13149,banking,NN,O
13150,and,CC,O
13151,money,NN,O
13152,"""",NN,O
13153, ,VBP,O
13154,The,DT,O
13155,Australian,JJ,I-MISC
13156,branch,NN,O
13157,of,IN,O
13158,the,DT,O
13159,B'nai,NNP,I-ORG
13160,B'rith,NNP,I-ORG
13161,Anti-Defamation,NNP,I-ORG
13162,Commission,NNP,I-ORG
13163,issued,VBD,O
13164,a,DT,O
13165,press,NN,O
13166,release,NN,O
13167,that,WDT,O
13168,"""",VBZ,O
13169,The,DT,O
13170,Co-founder,NNP,O
13171,of,IN,O
13172,Australians,NNPS,I-ORG
13173,Against,NNP,I-ORG
13174,Further,NNP,I-ORG
13175,Immigration,NNP,I-ORG
13176,(,(,O
13177,AAFI,NNP,I-ORG
13178,),),O
13179,",",",",O
13180,and,CC,O
13181,One,CD,I-ORG
13182,Nation,NN,I-ORG
13183,'s,POS,O
13184,Victorian,JJ,I-MISC
13185,leader,NN,O
13186,Robyn,NNP,I-PER
13187,Spencer,NNP,I-PER
13188,has,VBZ,O
13189,addressed,VBN,O
13190,numerous,JJ,O
13191,League,NNP,I-ORG
13192,of,IN,I-ORG
13193,Rights,NNPS,I-ORG
13194,meetings,NNS,O
13195,as,RB,O
13196,well,RB,O
13197,as,IN,O
13198,delivered,VBN,O
13199,a,DT,O
13200,speech,NN,O
13201,with,IN,O
13202,League,NNP,I-ORG
13203,of,IN,I-ORG
13204,Rights,NNPS,I-ORG
13205,",",",",O
13206,Advisory,NNP,O
13207,National,NNP,O
13208,Director,NNP,O
13209,Eric,NNP,I-PER
13210,Butler,NNP,I-PER
13211,.,.,O
13212,"""",VB,O
13213, ,JJ,O
13214,ALOR,NNP,I-ORG
13215,is,VBZ,O
13216,also,RB,O
13217,allegedly,RB,O
13218,associated,VBN,O
13219,with,IN,O
13220,National,NNP,I-ORG
13221,Action,NNP,I-ORG
13222, ,NNP,O
13223,In,IN,O
13224,the,DT,O
13225,1970s,CD,O
13226,and,CC,O
13227,early,RB,O
13228,1980s,CD,O
13229,",",",",O
13230,the,DT,O
13231,League,NNP,I-ORG
13232,attempted,VBD,O
13233,to,TO,O
13234,gain,VB,O
13235,control,NN,O
13236,of,IN,O
13237,the,DT,O
13238,National,NNP,I-ORG
13239,Party,NNP,I-ORG
13240,of,IN,I-ORG
13241,Australia,NNP,I-ORG
13242,",",",",O
13243,encouraging,VBG,O
13244,members,NNS,O
13245,to,TO,O
13246,join,VB,O
13247,the,DT,O
13248,party,NN,O
13249,in,IN,O
13250,sufficient,JJ,O
13251,numbers,NNS,O
13252,to,TO,O
13253,take,VB,O
13254,control,NN,O
13255,",",",",O
13256,a,DT,O
13257,tactic,JJ,O
13258,known,VBN,O
13259,as,IN,O
13260,entryism,NN,O
13261,.,.,O
13262, ,NN,O
13263,Doug,NNP,I-PER
13264,Anthony,NNP,I-PER
13265,led,VBD,O
13266,an,DT,O
13267,effort,NN,O
13268,to,TO,O
13269,defend,VB,O
13270,the,DT,O
13271,Party,NNP,O
13272,from,IN,O
13273,the,DT,O
13274,League,NNP,I-ORG
13275,by,IN,O
13276,recruiting,VBG,O
13277,people,NNS,O
13278,who,WP,O
13279,would,MD,O
13280,vote,VB,O
13281,against,IN,O
13282,them,PRP,O
13283,.,.,O
13284, ,NN,O
13285,After,IN,O
13286,a,DT,O
13287,long,JJ,O
13288,struggle,NN,O
13289,over,IN,O
13290,several,JJ,O
13291,years,NNS,O
13292,",",",",O
13293,the,DT,O
13294,existing,VBG,O
13295,leadership,NN,O
13296,prevailed,VBD,O
13297,.,.,O
13298, ,VB,O
13299,A,DT,O
13300,surprising,JJ,O
13301,consequence,NN,O
13302,of,IN,O
13303,this,DT,O
13304,struggle,NN,O
13305,was,VBD,O
13306,that,IN,O
13307,the,DT,O
13308,National,NNP,I-ORG
13309,Party,NNP,I-ORG
13310,",",",",O
13311,which,WDT,O
13312,got,VBD,O
13313,far,RB,O
13314,fewer,JJR,O
13315,votes,NNS,O
13316,than,IN,O
13317,either,CC,O
13318,the,DT,O
13319,Labor,NNP,I-ORG
13320,or,CC,O
13321,Liberal,NNP,I-ORG
13322,parties,NNS,O
13323,",",",",O
13324,had,VBD,O
13325,more,JJR,O
13326,members,NNS,O
13327,.,.,O
13328, ,VB,O
13329,This,DT,O
13330,fact,NN,O
13331,became,VBD,O
13332,much,RB,O
13333,more,RBR,O
13334,widely,RB,O
13335,known,VBN,O
13336,than,IN,O
13337,the,DT,O
13338,reason,NN,O
13339,for,IN,O
13340,it,PRP,O
13341,",",",",O
13342,with,IN,O
13343,both,DT,O
13344,sides,NNS,O
13345,keeping,VBG,O
13346,the,DT,O
13347,struggle,NN,O
13348,out,IN,O
13349,of,IN,O
13350,the,DT,O
13351,media,NNS,O
13352,.,.,O
13353, ,NN,O
13354,It,PRP,O
13355,has,VBZ,O
13356,been,VBN,O
13357,associated,VBN,O
13358,with,IN,O
13359,the,DT,O
13360,now-defunct,JJ,O
13361,New,NNP,I-ORG
13362,Zealand,NNP,I-ORG
13363,League,NNP,I-ORG
13364,of,IN,I-ORG
13365,Rights,NNPS,I-ORG
13366,",",",",O
13367,the,DT,O
13368,Canadian,NNP,I-ORG
13369,League,NNP,I-ORG
13370,of,IN,I-ORG
13371,Rights,NNPS,I-ORG
13372,and,CC,O
13373,through,IN,O
13374,the,DT,O
13375,British,JJ,I-ORG
13376,League,NNP,I-ORG
13377,of,IN,I-ORG
13378,Rights,NNP,I-ORG
13379,also,RB,O
13380,the,DT,O
13381,John,NNP,I-ORG
13382,Birch,NNP,I-ORG
13383,Society,NNP,I-ORG
13384,in,IN,O
13385,the,DT,O
13386,United,NNP,I-LOC
13387,States,NNPS,I-LOC
13388,.,.,O
13389, ,VB,O
13390,Critics,NNS,O
13391,have,VBP,O
13392,pointed,VBN,O
13393,to,TO,O
13394,the,DT,O
13395,past,JJ,O
13396,participation,NN,O
13397,of,IN,O
13398,the,DT,O
13399,League,NNP,I-ORG
13400,in,IN,O
13401,the,DT,O
13402,former,JJ,O
13403,World,NNP,I-ORG
13404,Anti-Communist,NNP,I-ORG
13405,League,NNP,I-ORG
13406,alongside,IN,O
13407,dictatorial,JJ,O
13408,regimes,NNS,O
13409,like,IN,O
13410,that,DT,O
13411,of,IN,O
13412,Augusto,NNP,I-PER
13413,Pinochet,NNP,I-PER
13414,.,.,O
13415, ,NN,O
13416,(,(,O
13417,1946,CD,O
13418,),),O
13419,The,DT,I-MISC
13420,International,NNP,I-MISC
13421,Jew,NNP,I-MISC
13422,:,:,I-MISC
13423,The,DT,I-MISC
13424,Truth,NN,I-MISC
13425,About,IN,I-MISC
13426,the,DT,I-MISC
13427,Protocols,NNP,I-MISC
13428,of,IN,I-MISC
13429,Zion,NNP,I-MISC
13430,4,CD,O
13431,^,NNP,O
13432,Harcourt,NNP,I-PER
13433,",",",",I-PER
13434,D,NNP,I-PER
13435,.,.,O
13436, ,NN,O
13437,(,(,O
13438,1972,CD,O
13439,),),O
13440,Everyone,NN,I-MISC
13441,Wants,VBZ,I-MISC
13442,To,TO,I-MISC
13443,Be,VB,I-MISC
13444,Fuhrer,NNP,I-MISC
13445,:,:,I-MISC
13446,National,NNP,I-MISC
13447,Socialism,NNP,I-MISC
13448,in,IN,I-MISC
13449,Australia,NNP,I-MISC
13450,and,CC,I-MISC
13451,New,NNP,I-MISC
13452,Zealand,NNP,I-MISC
13453,",",",",O
13454,p.,RB,O
13455,115,CD,O
13456,),),O
13457,5,CD,O
13458,^,NNP,O
13459,Campbell,NNP,I-PER
13460,",",",",I-PER
13461,A.A.,NNP,I-PER
13462,(,(,O
13463,1978,CD,O
13464,),),O
13465,The,DT,I-MISC
13466,Australian,JJ,I-MISC
13467,League,NNP,I-MISC
13468,of,IN,I-MISC
13469,Rights,NNPS,I-MISC
13470,:,:,I-MISC
13471,a,DT,I-MISC
13472,study,NN,I-MISC
13473,in,IN,I-MISC
13474,political,JJ,I-MISC
13475,extremism,NN,I-MISC
13476,and,CC,I-MISC
13477,subversion,NN,I-MISC
13478,",",",",O
13479,Outback,NNP,I-ORG
13480,Press,NNP,I-ORG
13481,",",",",O
13482,Collingwood,NNP,I-LOC
13483,",",",",O
13484,p.,VBZ,O
13485,170,CD,O
13486, ,NN,O
13487,-DOCSTART-,NNP,O
13488, ,NNP,O
13489,Australian,NNP,I-MISC
13490,Melodrama,NNP,I-MISC
13491,is,VBZ,O
13492,a,DT,O
13493,compilation,NN,O
13494,album,NN,O
13495,by,IN,O
13496,The,DT,I-ORG
13497,Triffids,NNP,I-ORG
13498,",",",",O
13499,released,VBN,O
13500,in,IN,O
13501,1994,CD,O
13502,.,.,O
13503, ,VB,O
13504,-DOCSTART-,JJ,O
13505, ,PDT,O
13506,The,DT,O
13507,Ayalon,NNP,I-LOC
13508,Cave,NNP,I-LOC
13509,is,VBZ,O
13510,a,DT,O
13511,large,JJ,O
13512,underground,JJ,O
13513,limestone,NN,O
13514,cave,NN,O
13515,located,VBN,O
13516,near,IN,O
